[2026-06-04 20:14:35] TO: 94740447856 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'HTFT' has been reported at G. Contact: 012345678
[2026-06-06 13:32:27] TO: 767844066 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:28] TO: 94740447856 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:28] TO: 767844066 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:29] TO: 767844066 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:29] TO: 767844066 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:29] TO: 94759818246 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:29] TO: 767844066 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:30] TO: 767844066 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:30] TO: 94740447856 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:30] TO: 94740447856 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:31] TO: 94740447856 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:31] TO: 767844066 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:31] TO: 94740447856 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:31] TO: 94740447856 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:31] TO: 94759818246 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:32] TO: 94759818246 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:33] TO: 94740447856 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:33] TO: 94759818246 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:33] TO: 94759818246 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:33] TO: 94759818246 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:33] TO: 767844066 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:34] TO: 767844066 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:35] TO: 94759818246 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:35] TO: 767844066 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:35] TO: 94740447856 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:35] TO: 767844066 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:35] TO: 767844066 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:35] TO: 94740447856 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:36] TO: 767844066 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:36] TO: 94759818246 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:37] TO: 94740447856 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:37] TO: 94740447856 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:37] TO: 94759818246 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:38] TO: 94740447856 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:39] TO: 94740447856 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:40] TO: 94759818246 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:40] TO: 94759818246 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:40] TO: 94759818246 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
[2026-06-06 13:32:41] TO: 94759818246 | HTTP: 200 | RESP: {"status":"error","message":"Sender ID \"Sandbox\" is not authorized to send this message."} | MSG: UniCore Alert: A new lost item 'dgf' has been reported at canteen. Contact: 12124242
